FIPS code,State,Jurisdiction,Equipment Type,Make,Model,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
4825900000,Texas,Kendall County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4825900000,Texas,Kendall County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4825900000,Texas,Kendall County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No
4826100000,Texas,Kenedy County,DRE-Dial,Hart InterCivic,eSlate,No,Yes,Yes,Yes,No
4826100000,Texas,Kenedy County,Hand-Fed Optical Scanner,Hart InterCivic,eScan,N/A,Yes,No,Yes,Yes
4826100000,Texas,Kenedy County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4826300000,Texas,Kent County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes
4826300000,Texas,Kent County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4826300000,Texas,Kent County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4826500000,Texas,Kerr County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No
4826500000,Texas,Kerr County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4826500000,Texas,Kerr County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4826700000,Texas,Kimble County,Ballot Marking Device,Hart InterCivic,Verity Touch Writer,N/A,Yes,Yes,Yes,No
4826700000,Texas,Kimble County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4826700000,Texas,Kimble County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4826900000,Texas,King County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4826900000,Texas,King County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4826900000,Texas,King County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4827100000,Texas,Kinney County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4827100000,Texas,Kinney County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4827100000,Texas,Kinney County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4827300000,Texas,Kleberg County,Hand-Fed Optical Scanner,Election Systems & Software,Model 100,N/A,Yes,No,Yes,Yes
4827300000,Texas,Kleberg County,Ballot Marking Device,Election Systems & Software,AutoMARK,N/A,Yes,Yes,Yes,No
4827300000,Texas,Kleberg County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4827500000,Texas,Knox County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4827500000,Texas,Knox County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
